Recency,Frequency,Monetary,TotalItems,AvgOrderValue
296,1,77183.6,74215,77183.6
10,6,4085.1800000000003,2266,680.8633333333333
45,4,1437.24,2332,359.31
280,1,294.4,196,294.4
6,7,1385.74,526,197.96285714285713
174,1,89.0,20,89.0
202,1,1079.4,530,1079.4
184,1,459.4,240,459.4
216,2,2429.08,1568,1214.54
3,1,6207.67,2708,6207.67
121,1,404.86,98,404.86
28,4,6310.03,1609,1577.5075
22,3,2302.06,1156,767.3533333333334
257,1,174.9,90,174.9
6,9,4262.19,1979,473.5766666666666
80,2,552.0,408,276.0
10,3,912.78,998,304.26
261,1,320.69,173,320.69
21,4,3421.94,2349,855.485
30,1,1527.96,582,1527.96
42,3,1196.04,788,398.68
281,1,324.6,196,324.6
68,1,190.3,86,190.3
285,2,1548.12,942,774.06
100,1,4008.62,2529,4008.62
52,2,777.24,402,388.62
27,3,1531.42,803,510.47333333333336
3,2,1367.8,706,683.9
155,5,1628.56,1518,325.712
92,1,212.69,60,212.69
308,2,401.9,354,200.95
46,5,2494.26,1238,498.85200000000003
50,1,504.84000000000003,350,504.84000000000003
42,4,1582.6000000000001,816,395.65000000000003
34,2,1080.48,808,540.24
1,11,2446.8,1974,222.43636363636367
6,2,2214.9,1250,1107.45
16,1,1435.66,1389,1435.66
89,4,1033.65,1173,258.4125
273,1,69.3,10,69.3
293,1,195.6,92,195.6
20,1,391.7,94,391.7
119,1,1390.39,849,1390.39
154,1,1621.25,793,1621.25
20,5,1507.1200000000001,1403,301.42400000000004
3,5,2618.55,1391,523.71
49,3,11072.67,5551,3690.89
279,2,533.33,207,266.665
45,3,1142.88,824,380.96000000000004
37,3,686.1,282,228.70000000000002
187,3,442.41,297,147.47
7,18,119209.13,74243,6622.729444444445
9,8,2901.37,1355,362.67125
83,1,668.58,407,668.58
34,1,600.39,345,600.39
85,3,488.56,402,162.85333333333332
66,3,683.5600000000001,367,227.85333333333335
71,7,1440.67,1122,205.81
133,2,1760.96,740,880.48
48,1,777.2,496,777.2
165,1,510.73,254,510.73
30,2,496.08,188,248.04
90,7,6076.92,3361,868.1314285714286
143,3,2482.88,1026,827.6266666666667
13,1,216.4,116,216.4
6,15,6314.95,2889,420.99666666666667
13,4,4359.32,1800,1089.83
13,4,7893.89,6545,1973.4725
55,2,806.14,394,403.07
50,2,7829.89,2055,3914.945
70,1,429.01000000000005,209,429.01000000000005
6,15,3898.5,2687,259.9
110,1,770.0699999999999,583,770.0699999999999
337,1,155.55,120,155.55
29,4,3388.82,896,847.205
28,1,1002.3100000000001,351,1002.3100000000001
213,1,431.49,187,431.49
14,1,365.45,240,365.45
62,3,2379.58,1006,793.1933333333333
126,2,197.88,128,98.94
35,3,7847.38,5755,2615.7933333333335
104,1,707.09,473,707.09
26,1,3528.34,1006,3528.34
43,5,2339.86,2084,467.97200000000004
14,3,2581.04,1618,860.3466666666667
36,6,2043.23,835,340.53833333333336
41,2,787.4,502,393.7
125,1,626.88,282,626.88
273,1,594.11,281,594.11
23,4,1200.78,768,300.195
76,6,615.55,70,102.59166666666665
139,1,410.94,292,410.94
158,2,657.54,362,328.77
7,21,13037.859999999999,5960,620.8504761904761
2,7,6068.11,4120,866.8728571428571
24,3,2585.73,2394,861.91
20,16,5675.06,4057,354.69125
24,1,669.38,532,669.38
16,9,4102.43,1705,455.8255555555556
26,5,11182.05,3180,2236.41
113,3,1892.95,1082,630.9833333333333
36,9,4835.0199999999995,3110,537.2244444444444
11,7,1664.26,978,237.75142857142856
5,4,3939.32,2166,984.83
10,2,767.45,259,383.725
306,1,298.93,103,298.93
7,7,3790.03,2279,541.4328571428572
9,1,424.40000000000003,258,424.40000000000003
33,2,227.21,190,113.605
136,2,415.74,206,207.87
10,6,957.6,566,159.6
52,1,953.1,1231,953.1
28,1,211.25000000000003,67,211.25000000000003
20,10,3460.78,2091,346.07800000000003
307,1,2025.39,1775,2025.39
66,5,2995.87,794,599.174
203,1,73.5,23,73.5
104,3,1052.81,885,350.93666666666667
254,1,158.5,54,158.5
113,2,814.5699999999999,347,407.28499999999997
36,2,132.18,96,66.09
83,1,558.29,459,558.29
237,1,1017.68,440,1017.68
323,1,278.7,128,278.7
48,2,1186.06,868,593.03
44,3,1812.65,1037,604.2166666666667
29,3,1104.79,799,368.2633333333333
34,1,276.84,172,276.84
49,5,2346.2599999999998,1423,469.25199999999995
113,1,545.68,306,545.68
9,2,156.72,192,78.36
14,10,1437.35,783,143.73499999999999
34,7,3673.92,3561,524.8457142857143
24,2,931.58,538,465.79
52,3,330.71000000000004,233,110.23666666666668
34,5,1327.88,592,265.576
30,4,1500.28,904,375.07
101,1,981.18,645,981.18
62,2,716.35,219,358.175
29,1,4279.71,2801,4279.71
232,3,4517.69,1621,1505.8966666666665
1,16,10775.97,6223,673.498125
143,2,480.14,417,240.07
6,1,316.7,134,316.7
45,2,832.39,517,416.195
17,2,1021.5,628,510.75
168,2,151.79999999999998,132,75.89999999999999
136,1,67.19999999999999,48,67.19999999999999
49,1,824.83,564,824.83
328,1,168.0,100,168.0
10,1,317.82,85,317.82
28,8,2555.14,1552,319.3925
20,2,599.56,355,299.78
128,4,9000.960000000001,3464,2250.2400000000002
281,2,525.71,281,262.855
113,1,1292.31,812,1292.31
273,1,238.85,177,238.85
26,5,2255.4700000000003,1227,451.09400000000005
231,1,402.9,130,402.9
259,1,145.92,80,145.92
56,1,297.65,262,297.65
66,9,7165.98,3495,796.2199999999999
6,22,2300.65,1219,104.575
10,2,519.61,523,259.805
22,1,478.74,290,478.74
197,1,160.54000000000002,84,160.54000000000002
286,1,182.45000000000002,59,182.45000000000002
6,5,1315.83,967,263.166
5,3,622.65,468,207.54999999999998
300,1,1412.66,741,1412.66
48,1,386.42,282,386.42
217,1,379.7,236,379.7
10,1,179.71,160,179.71
209,2,351.36,296,175.68
2,13,5720.89,4451,440.0684615384616
10,7,1639.45,305,234.20714285714286
204,2,1824.1,1267,912.05
9,1,174.89999999999998,52,174.89999999999998
115,1,113.5,82,113.5
181,1,9341.26,4282,9341.26
287,1,368.85,225,368.85
62,2,401.6,288,200.8
79,3,382.09999999999997,204,127.36666666666666
8,9,3208.2200000000003,1772,356.4688888888889
21,2,450.27,468,225.135
10,3,3017.2599999999998,2138,1005.7533333333332
41,4,1748.1399999999999,1248,437.03499999999997
97,6,731.04,742,121.83999999999999
54,9,1985.46,600,220.60666666666668
160,5,487.06,240,97.412
29,1,153.12,162,153.12
49,2,236.18,200,118.09
30,1,1579.51,1228,1579.51
48,3,964.85,639,321.6166666666667
15,3,1539.34,871,513.1133333333333
22,1,1193.32,846,1193.32
44,1,668.0400000000001,260,668.0400000000001
